a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
0.00,0.00,1.00,-0.01,0.03,-0.06,9802,22.82
0.00,0.00,1.00,0.00,0.01,-0.06,9805,22.82
0.00,0.00,1.00,0.05,-0.00,-0.00,9809,22.83
0.00,0.00,1.00,0.06,-0.02,0.03,9812,22.83
-0.00,-0.00,1.00,0.05,-0.03,0.06,9817,22.83
-0.00,-0.00,1.00,0.03,-0.02,0.05,9821,22.82
-0.00,-0.00,1.00,0.02,-0.02,0.03,9824,22.82
-0.00,-0.00,1.00,-0.03,0.01,-0.02,9828,22.82
-0.00,0.00,1.00,-0.04,0.04,-0.02,9832,22.85
-0.00,0.00,1.00,-0.04,0.04,-0.03,9836,22.85
-0.00,-0.00,1.00,-0.01,-0.00,-0.05,9839,22.85
-0.00,-0.00,1.00,-0.01,-0.03,-0.03,9843,22.81
-0.00,-0.00,1.00,0.00,-0.02,-0.00,9847,22.81
-0.00,-0.00,1.00,0.02,0.03,-0.00,9851,22.83
-0.00,-0.00,1.00,0.03,0.10,-0.03,9856,22.83
0.00,-0.00,1.00,0.02,0.10,-0.03,9859,22.83
0.00,-0.00,1.00,0.00,0.07,0.01,9863,22.78
0.00,-0.00,1.00,0.02,0.06,0.05,9867,22.78
0.00,-0.00,1.00,0.03,0.04,0.05,9870,22.78
0.00,-0.00,1.00,0.03,0.03,0.05,9874,22.84
0.00,-0.00,1.00,0.00,0.01,0.03,9878,22.84
-0.00,-0.00,1.00,-0.01,0.01,0.03,9881,22.84
-0.00,0.00,1.00,0.00,0.07,-0.03,9885,22.83
-0.00,0.00,1.00,0.00,0.09,-0.06,9889,22.83
-0.00,-0.00,1.00,-0.03,0.06,-0.05,9892,22.83
-0.00,-0.00,1.00,-0.04,0.03,-0.02,9896,22.85
-0.00,-0.00,1.00,-0.06,0.04,0.05,9901,22.85
-0.00,-0.00,1.00,-0.04,0.06,0.05,9904,22.85
0.00,-0.00,1.00,-0.01,0.04,0.03,9908,22.82
0.00,-0.00,1.00,0.02,0.01,0.03,9912,22.82
0.00,-0.00,1.00,0.06,-0.03,0.01,9915,22.82
0.00,-0.00,1.00,0.06,-0.05,0.01,9919,22.82
0.00,-0.00,1.00,0.00,-0.05,-0.02,9923,22.82
0.00,-0.00,1.00,-0.01,-0.05,-0.02,9926,22.82
-0.00,-0.00,1.00,-0.03,-0.05,-0.03,9930,22.86
-0.00,-0.00,1.00,-0.01,-0.05,-0.03,9934,22.86
0.00,-0.00,1.00,0.00,-0.07,-0.05,9938,22.86
0.00,-0.00,1.00,0.00,-0.07,-0.05,9943,22.85
0.00,-0.00,1.00,0.00,-0.05,-0.06,9946,22.85
0.00,-0.00,1.00,-0.01,-0.03,-0.06,9950,22.85
0.00,-0.00,1.00,0.00,-0.00,-0.05,9954,22.79
0.00,-0.00,1.00,0.02,-0.00,-0.02,9958,22.79
-0.00,-0.00,1.00,0.02,-0.00,0.01,9962,22.79
-0.00,-0.00,1.00,0.02,-0.00,0.01,9965,22.86
-0.00,-0.00,1.00,0.03,-0.00,0.01,9969,22.86
0.00,-0.00,1.00,0.06,-0.00,0.03,9973,22.86
0.00,-0.00,1.00,0.06,-0.00,0.01,9976,22.82
0.00,-0.00,1.00,0.05,-0.00,0.01,9980,22.82
0.00,-0.00,1.00,0.05,-0.00,-0.02,9985,22.82
0.00,-0.00,1.00,0.06,0.01,-0.03,9988,22.84
